AS1,AS1_org_id,AS1_org_name,AS2,AS2_org_id,AS2_org_name,Total_CO2,CO2_Normalized
59891,ORG-FA509-RIPE,FSIT AG,58280,ORG-MAS22-RIPE,Massimiliano Andrea Stucchi,36.6,3.37e-09
60326,ORG-ML711-RIPE,MrSheepNET LTD,56883,ORG-AIRM1-RIPE,Airmass 1 AB,36.6,3.37e-09
60326,ORG-ML711-RIPE,MrSheepNET LTD,58280,ORG-MAS22-RIPE,Massimiliano Andrea Stucchi,36.6,3.37e-09
196621,ORG-MC20-RIPE,Matthias Cramer,12350,ORG-VA3-RIPE,VTX Services SA,36.6,3.37e-09
196621,ORG-MC20-RIPE,Matthias Cramer,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
198385,ORG-SCS40-RIPE,AlpineDC SA,15398,ORG-WA182-RIPE,Werft22 AG,36.6,3.37e-09
198385,ORG-SCS40-RIPE,AlpineDC SA,204178,ORG-WNSA2-RIPE,Winet Voicetec Solutions AG,36.6,3.37e-09
198385,ORG-SCS40-RIPE,AlpineDC SA,206087,ORG-SOA38-RIPE,Ops One AG,36.6,3.37e-09
198385,ORG-SCS40-RIPE,AlpineDC SA,215044,ORG-OA777-RIPE,OBT AG,36.6,3.37e-09
203969,ORG-YA70-RIPE,YMC AG,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
204178,ORG-WNSA2-RIPE,Winet Voicetec Solutions AG,1836,ORG-GCA1-RIPE,green.ch AG,36.6,3.37e-09
204178,ORG-WNSA2-RIPE,Winet Voicetec Solutions AG,12307,ORG-SBTA6-RIPE,Sandro Bolliger trading as Bolliger Network Solutions,36.6,3.37e-09
204178,ORG-WNSA2-RIPE,Winet Voicetec Solutions AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
204178,ORG-WNSA2-RIPE,Winet Voicetec Solutions AG,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
206492,ORG-NA858-RIPE,Nexphone AG,16347,ORG-RI9-RIPE,ADISTA SAS,36.6,3.37e-09
207335,ORG-IA1762-RIPE,i-Community AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
207335,ORG-IA1762-RIPE,i-Community AG,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
208444,ORG-BIG3-RIPE,Bringe Informationstechnik GmbH,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
208731,ORG-RA1061-RIPE,RULEMATCH AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
208731,ORG-RA1061-RIPE,RULEMATCH AG,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
209823,ORG-EME1-RIPE,Enki Multimedia EURL,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
215044,ORG-OA777-RIPE,OBT AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
215782,ORG-IA16-RIPE,Keepit A/S,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
215782,ORG-IA16-RIPE,Keepit A/S,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
400671,SL-2100-ARIN,stypr LLC,35708,ORG-KB88-RIPE,4b42 UG,36.6,3.37e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,6775,ORG-AF26-RIPE,Andreas Fink trading as Fink Telecom Services GmbH,37.14,3.42e-09
40934,FTC-58-ARIN,Fortinet Inc.,2613,ORG-WVG2-RIPE,Willem van Gulik,37.54,3.46e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,50414,ORG-TI114-RIPE,ThousandEyes LLC,37.72,3.48e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,32934,THEFA-3-ARIN,"Facebook, Inc.",38.81,3.58e-09
35600,ORG-VS282-RIPE,Vedege SAS,51826,ORG-EA1526-RIPE,evroc AB,40.0,3.69e-09
51826,ORG-EA1526-RIPE,evroc AB,58308,ORG-CS181-RIPE,Cusae SAS,40.0,3.69e-09
213317,ORG-SDEE1-RIPE,SI D ENERGIE ET DE E-COMMUNICATION DE L AIN SIVU,15576,ORG-AG1-RIPE,NTS workspace AG,40.28,3.71e-09
43142,ORG-SA855-RIPE,ADELI SAS,2613,ORG-WVG2-RIPE,Willem van Gulik,40.43,3.73e-09
13237,ORG-GVNG1-RIPE,euNetworks GmbH,213317,ORG-SDEE1-RIPE,SI D ENERGIE ET DE E-COMMUNICATION DE L AIN SIVU,43.4,4.00e-09
1828,UG-210-ARIN,Unitas Global,2072,ORG-RA8-RIPE,Renater,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,35353,ORG-ASS50-RIPE,Alpha Square SAS,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,41191,ORG-MA188-RIPE,Mappy SA,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,44000,ORG-NA257-RIPE,NET1C SARL,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,49763,ORG-EAM1-RIPE,ADEVINTA FRANCE SAS,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,50172,ORG-RA233-RIPE,Regie Autonome Des Transports Parisiens,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,197551,ORG-AS139-RIPE,AMEOS SARL,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,199396,ORG-SAMW1-RIPE,Association Sames Wireless,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,203030,ORG-KS72-RIPE,KINCY SAS,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,204207,ORG-DS223-RIPE,LACOSTE OPERATIONS S.A.,44.18,4.07e-09
1828,UG-210-ARIN,Unitas Global,211925,ORG-BSS38-RIPE,BLUE SOFT SAS,44.18,4.07e-09
