AS1,Org1_ID,AS2,Org2_ID,Total_CO2,CO2_Normalized
198385,AlpineDC AlpineDC SA,206087,internezzo Ops One AG,36.6,1.51e-10
198385,AlpineDC AlpineDC SA,215044,OBT-AG OBT AG,36.6,1.51e-10
203969,YMC-AS YMC AG,202032,GOLINE GOLINE SA,36.6,1.51e-10
204178,WINET Winet Voicetec Solutions AG,1836,GREEN green.ch AG,36.6,1.51e-10
204178,WINET Winet Voicetec Solutions AG,12307,RAVANA Sandro Bolliger trading as Bolliger Network Solutions,36.6,1.51e-10
204178,WINET Winet Voicetec Solutions AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
204178,WINET Winet Voicetec Solutions AG,202032,GOLINE GOLINE SA,36.6,1.51e-10
206492,NEXPHONE Nexphone AG,16347,INHERENT ADISTA SAS,36.6,1.51e-10
207335,i-Community i-Community AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
207335,i-Community i-Community AG,202032,GOLINE GOLINE SA,36.6,1.51e-10
208444,BIG3AS Bringe Informationstechnik GmbH,202032,GOLINE GOLINE SA,36.6,1.51e-10
208731,RULEMATCH RULEMATCH AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
208731,RULEMATCH RULEMATCH AG,202032,GOLINE GOLINE SA,36.6,1.51e-10
209823,ENKI-AS Enki Multimedia EURL,202032,GOLINE GOLINE SA,36.6,1.51e-10
215044,OBT-AG OBT AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
215782,KEEPIT-CH-ZH Keepit A/S,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
215782,KEEPIT-CH-ZH Keepit A/S,202032,GOLINE GOLINE SA,36.6,1.51e-10
400671,STYPR,35708,ASN-4IXP 4b42 UG,36.6,1.51e-10
2613,VAN_GULIK Willem van Gulik,6775,FINK-TELECOM-SERVICES Andreas Fink trading as Fink Telecom Services GmbH,37.14,1.54e-10
40934,FORTINET,2613,VAN_GULIK Willem van Gulik,37.54,1.55e-10
2613,VAN_GULIK Willem van Gulik,50414,CodeBGP-Monitor ThousandEyes LLC,37.72,1.56e-10
2613,VAN_GULIK Willem van Gulik,32934,FACEBOOK,38.81,1.61e-10
35600,ASN-VEDEGE Vedege SAS,51826,EVROC evroc AB,40.0,1.65e-10
51826,EVROC evroc AB,58308,CUSAE-AS Cusae SAS,40.0,1.65e-10
213317,SIEA SI D ENERGIE ET DE E-COMMUNICATION DE L AIN SIVU,15576,NTS NTS workspace AG,40.28,1.67e-10
43142,AdeliNovius ADELI SAS,2613,VAN_GULIK Willem van Gulik,40.43,1.67e-10
13237,LAMBDANET-AS euNetworks GmbH,213317,SIEA SI D ENERGIE ET DE E-COMMUNICATION DE L AIN SIVU,43.4,1.80e-10
1828,UNITAS,2072,FR-RENATER-REVE Reseau REVE,44.18,1.83e-10
1828,UNITAS,35353,alphasquare Alpha Square SAS,44.18,1.83e-10
1828,UNITAS,41191,MAPPY Mappy SA,44.18,1.83e-10
1828,UNITAS,44000,NET1C-AS NET1C SARL,44.18,1.83e-10
1828,UNITAS,49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,44.18,1.83e-10
1828,UNITAS,50172,RATP Regie Autonome Des Transports Parisiens,44.18,1.83e-10
1828,UNITAS,197551,AMEOS AMEOS SARL,44.18,1.83e-10
1828,UNITAS,199396,SAMES-WIRELESS Association Sames Wireless,44.18,1.83e-10
1828,UNITAS,203030,Kalyst KINCY SAS,44.18,1.83e-10
1828,UNITAS,204207,Devanlay LACOSTE OPERATIONS S.A.,44.18,1.83e-10
1828,UNITAS,211925,BLUESOFT-AS BLUE SOFT SAS,44.18,1.83e-10
1828,UNITAS,328126,ORANGE-CDN-AS,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,2027,MilkyWan MilkyWan Association,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,34177,CELESTE-AS CELESTE SAS,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,34927,iFog-GmbH iFog GmbH,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,49434,FBWNETWORKS FBW NETWORKS SAS,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,56987,AS-ABACLOUDA ABACLOUDA SAS,44.18,1.83e-10
2072,FR-RENATER-REVE Reseau REVE,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,7500,M-ROOT-DNS WIDE Project,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,29169,GANDI-AS GANDI SAS,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,29608,WAN2MANY-AS OVEA SAS,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,31638,ASN-LEPIDA Lepida S.c.p.A.,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,32590,VALVE-CORPORATION,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,42687,IzarLink1 IZARLINK SAS,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,42845,Bretagnetelecom BRETAGNE TELECOM SASU,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,44902,COV-ASN Covage Infra SASU,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,47608,GIGALIS-AS GROUPEMENT D'INTERET PUBLIC GIGALIS,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,56630,MELBICOM-EU-AS Melbikomas UAB,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,57734,FRANCEIX France IX Services SASU,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,60350,VP VENTE-PRIVEE.COM SA,44.18,1.83e-10
2613,VAN_GULIK Willem van Gulik,327956,PARABOLE-REUNION,44.18,1.83e-10
4455,BSO IX Reach Ltd,2072,FR-RENATER-REVE Reseau REVE,44.18,1.83e-10
8487,PHIBEE Phibee Telecom SAS,2613,VAN_GULIK Willem van Gulik,44.18,1.83e-10
12362,NETPLUSCOM-Legacy Euris Health Cloud SAS,16347,INHERENT ADISTA SAS,44.18,1.83e-10
12409,HRNET TRUSTTEAM SAS,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
12409,HRNET TRUSTTEAM SAS,34927,iFog-GmbH iFog GmbH,44.18,1.83e-10
12779,ITGATE IT.Gate S.p.A.,205010,lanetcie LaNetCie SAS,44.18,1.83e-10
13113,ISILINE-AS ISI Line srl,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
13237,LAMBDANET-AS euNetworks GmbH,51326,W3TEL-AS W3TEL SAS,44.18,1.83e-10
13237,LAMBDANET-AS euNetworks GmbH,59689,CODE40-AS CODE40 SAS,44.18,1.83e-10
13237,LAMBDANET-AS euNetworks GmbH,197696,EVOLIX-AS Evolix SARL,44.18,1.83e-10
13237,LAMBDANET-AS euNetworks GmbH,198111,IPDIRECTIONS-AS IP Directions SAS,44.18,1.83e-10
13237,LAMBDANET-AS euNetworks GmbH,200748,GOSB-ASN EPT Grand-Orly Seine Bievre,44.18,1.83e-10
