AS1,AS2,Total_CO2
51933,1828,88.36
51933,16347,88.36
51933,34177,88.36
51933,35600,88.36
52143,1828,88.36
52143,2027,88.36
52143,13237,88.36
52143,16347,88.36
52143,29075,88.36
52143,34177,88.36
52143,34927,88.36
52143,35600,88.36
52143,49434,88.36
52143,56987,88.36
52143,58308,88.36
56987,50234,88.36
56987,50446,88.36
56987,51326,88.36
56987,59689,88.36
57141,34177,88.36
57902,2613,88.36
57902,13237,88.36
57902,34927,88.36
58011,13237,88.36
58011,34927,88.36
59689,2027,88.36
60456,13237,88.36
61394,2027,88.36
61394,56987,88.36
62443,35625,88.36
132337,12409,88.36
132337,197205,88.36
132337,199125,88.36
132337,203547,88.36
132337,205919,88.36
132337,209254,88.36
197551,15547,88.36
198385,1301,88.36
198385,12409,88.36
198385,197205,88.36
198385,199125,88.36
198385,203547,88.36
198385,205919,88.36
198385,209323,88.36
198385,328411,88.36
199524,16101,88.36
199524,197205,88.36
199524,198111,88.36
199524,200748,88.36
199524,203547,88.36
199524,205919,88.36
199524,206059,88.36
199524,209323,88.36
199524,215234,88.36
203547,2027,88.36
203547,13237,88.36
203554,2027,88.36
204092,198978,88.36
204207,15547,88.36
204403,15547,88.36
204403,16347,88.36
205068,2027,88.36
205068,16347,88.36
205483,15547,88.36
205919,2027,88.36
209323,2027,88.36
209994,2027,88.36
210801,204092,88.36
212321,15547,88.36
212424,13237,88.36
215234,2027,88.36
215234,16347,88.36
216239,15547,88.36
216302,2027,88.36
12455,60171,88.79
15399,329110,88.79
58453,37619,88.79
328977,29606,88.79
328977,328301,88.79
328977,328846,88.79
328977,328975,88.79
328977,328986,88.79
328977,328989,88.79
328977,328991,88.79
328977,329211,88.79
328977,329411,88.79
329111,328977,88.79
329183,328977,88.79
329437,328977,88.79
39180,21859,89.4
51519,47699,89.56
3856,8896,90.02
2119,21293,92.25
44788,12552,93.66
51395,1836,93.76
25509,12969,94.36
3856,6696,94.7
198385,15796,96.44
2607,30929,96.49
28952,16142,96.49
43248,60068,96.49
34288,44765,96.62
2874,8896,96.66
12409,56987,98.12
3856,51873,99.16
57777,61287,99.24
39180,1248,99.68
2484,2027,100.4
3856,2027,100.4
15796,34177,100.42
31449,2027,100.86
44592,15576,101.14
43641,15576,102.3
1853,43061,102.62
5403,1853,102.62
12895,31510,102.62
12895,34288,102.62
12895,40994,102.62
12895,200970,102.62
20751,15576,102.62
31394,20811,102.62
31394,31510,102.62
32590,1853,102.62
35369,12895,102.62
35369,34885,102.62
35369,44392,102.62
35369,44765,102.62
35369,62149,102.62
39478,31510,102.62
39478,35369,102.62
40994,44765,102.62
43957,1853,102.62
48943,1764,102.62
49808,15576,102.62
49808,24708,102.62
61423,1853,102.62
62044,15576,102.62
137409,12577,102.62
137409,204577,102.62
200070,15576,102.62
200970,212131,102.62
203752,200970,102.62
204419,1853,102.62
204577,13237,102.62
211510,15576,102.62
215219,1853,102.62
216369,200970,102.62
132337,209823,102.89
12552,36864,102.9
8289,8896,102.92
1251,52863,103.21
1828,269115,103.21
1828,272161,103.21
10412,53013,103.21
10906,52863,103.21
10906,264479,103.21
11284,52863,103.21
12136,52863,103.21
13357,52863,103.21
13360,52873,103.21
13522,18881,103.21
13786,268952,103.21
14282,264069,103.21
14650,52863,103.21
15830,262387,103.21
15830,268568,103.21
15830,268732,103.21
16735,28252,103.21
16735,262508,103.21
16921,18881,103.21
18881,28358,103.21
18881,262807,103.21
18881,264427,103.21
19990,52863,103.21
21574,28188,103.21
22356,269115,103.21
22381,268374,103.21
22548,13360,103.21
22548,28275,103.21
22548,28327,103.21
22548,30103,103.21
22548,33353,103.21
22548,52569,103.21
22548,52640,103.21
22548,52799,103.21
22548,52931,103.21
22548,61666,103.21
22548,262328,103.21
22548,262614,103.21
22548,262757,103.21
22548,262957,103.21
22548,263261,103.21
22548,264311,103.21
22548,264339,103.21
22548,264559,103.21
22548,265284,103.21
22548,266096,103.21
22548,266136,103.21
22548,266365,103.21
22548,267209,103.21
22548,267301,103.21
22548,267389,103.21
22548,267408,103.21
22548,267473,103.21
22548,267562,103.21
22548,268880,103.21
22548,269108,103.21
22548,269128,103.21
22548,269484,103.21
22548,271115,103.21
22548,272477,103.21
22548,273573,103.21
22876,18881,103.21
27263,18881,103.21
28121,18881,103.21
28130,53062,103.21
28133,52863,103.21
28170,18881,103.21
28197,52873,103.21
28204,52863,103.21
28216,52863,103.21
28260,40850,103.21
28275,28624,103.21
28275,35280,103.21
28275,42473,103.21
28275,52873,103.21
28275,60503,103.21
28279,52863,103.21
28285,52863,103.21
28295,18881,103.21
28305,52863,103.21
28327,42473,103.21
28327,60503,103.21
28368,28652,103.21
28368,52796,103.21
28576,52863,103.21
28576,52873,103.21
28597,18881,103.21
28618,52863,103.21
28624,13360,103.21
28624,28327,103.21
28624,30103,103.21
28624,33353,103.21
28624,52569,103.21
28624,52640,103.21
28624,52799,103.21
28624,52931,103.21
28624,61666,103.21
28644,52863,103.21
30103,52873,103.21
33353,52873,103.21
35280,52640,103.21
35280,52931,103.21
37721,28001,103.21
37721,28275,103.21
37721,28327,103.21
37721,52541,103.21
37721,52640,103.21
37721,52848,103.21
37721,52877,103.21
37721,52911,103.21
37721,61652,103.21
37721,61666,103.21
37721,61802,103.21
42473,52640,103.21
42473,52931,103.21
51185,28275,103.21
51185,52569,103.21
51185,52640,103.21
51185,52799,103.21
51185,52931,103.21
51185,61666,103.21
52320,28252,103.21
52320,28327,103.21
52320,52640,103.21
52320,52800,103.21
52455,52863,103.21
52468,52752,103.21
52468,52939,103.21
52523,18881,103.21
52569,35280,103.21
52569,42473,103.21
52569,60503,103.21
52596,52863,103.21
52596,52873,103.21
52600,52863,103.21
52641,52863,103.21
52674,52863,103.21
52685,52863,103.21
52759,37721,103.21
