ASN,Organization,CO2 Emissions
266858,INTERNET & MEDIA S.A.,24.86
266814,Masternet Telecomunicaciones,24.86
264756,Cable Television Satelital SRL,24.86
27669,E-life Paraguay S.A.,24.86
269794,GRUPO SPEED NET SOCIEDAD ANONIMA,24.86
265759,VIVE TELECOM S.A.,24.86
263717,SOL TELECOMUNICACIONES S.A.,24.86
269731,Liz Carolina Zavala Martinez Link Telecomunicaciones,24.86
266831,MONGELOS ARCE MARCIALDELTA NETWORKS,24.86
264705,Secretaria Nacional de Tecnologias de la Informacion y Comunicaciones,24.86
269914,FRANCISCO DARIO DAVID GARCIA AYALA NETCON,24.86
262250,Direccion Nacional de Contrataciones Publicas,24.86
27866,COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A.,24.86
27733,Centro Nacional de Computacion,24.86
27768,COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A.,25.864332
329489,Castor-Networks,27.04
328452,ISPA-RDC-LUBUX-MGMT,27.04
329017,RAGA-NET,27.04
327978,ISS,27.04
328569,Banque-Central-Congo,27.04
327797,COWS,27.04
37677,SCPT,27.04
37571,ITM-DRC,27.04
37799,ACIX-Peering,27.04
328249,Kinshasa-Wireless-AS,27.04
328601,Compagnie-Financiere-du-Congo-AS,27.04
328928,CEDESURK,27.04
329342,DIRECTION-GENERALE-DES-DOUANES-ET-ACCISES,27.04
37431,ISPA-DRC,27.04
37785,ISPA-RDC-LUBUX-Peering,27.04
37788,ISPA-DRC-GOMIX-Peering,27.04
328566,Elite-Networks-AS,27.04
328000,Banque-Commerciale-Du-Congo,27.04
327875,ISPA-DRC-CONTENT,27.04
329269,SLTS1-AS,27.04
328796,GOMIX-MGT,27.04
328618,OLIVERSOFT,27.04
37020,CELTEL-DRC,27.04
328344,STETechplus-AS,27.04
37453,VODACOM-CONGO,27.04
327879,AJYWA-TELECOM,27.04
37102,CIELUX-RDC,27.04
37415,AFRINET,27.04
37638,Orioncom,27.04
327738,AFRICELL-DRC,27.04
327870,GBS-DRC,27.04
328542,MITC-SARL,27.04
328981,Signal-HD,27.04
37414,Microcom-Sprl,27.04
328445,UNLIMITED-SARL-AS,27.04
328443,Societe-Datco-AS,27.04
328551,Baraka-Broadband-AS,27.04
327933,-Reserved AS-,27.04
328238,INFOSET-AS,27.04
206842,Tactica Tactica ehf,28.33
203322,EIMSKIP-AS Eimskip Island ehf,28.33
50613,ThorDC-AS Advania Island ehf,28.33
44515,IS-ADVANIA Advania Island ehf,28.33
34678,TOLVUN-AS Eignafelag Tolvunar ehf,28.33
204588,protegion Rapyd Europe hf.,28.33
29348,FSNET-AS Icelandic Ministry of Education and Children,28.33
214185,Austurljos Rafey ehf,28.33
212926,HARPA-AS Harpa Concert Hall and Conference Centre ohf,28.33
211815,landsvirkjun-as Landsvirkjun,28.33
211734,IS-VEGAGERDIN Vegagerdin,28.33
202247,NETBERG Netpandan ehf,28.33
44275,OpinKerfi2024 Opin Kerfi hf,28.33
212771,NETVOKTUN Netvoktun ehf,28.33
57508,AS-ALZA-IS Alza ehf,28.33
60690,OPEX-ASN Opin Kerfi hf,28.33
200868,KAPALVAEDING Kapalvaeding ehf.,28.33
202030,ICELANDAIR-AS Icelandair ehf,28.33
206669,Gagnaveitan Gagnaveitan ehf.,28.33
215823,SPAUGURDATA Spaugur ehf.,28.33
210080,tolvuthjonustan Tolvuthjonustan ehf.,28.33
62199,VERNEGLOBAL-IS Verne Global hf.,28.33
216017,OKH-2 Opin Kerfi hf,28.33
59788,-Reserved AS-,28.33
207598,-Reserved AS-,28.33
211589,RUV-CDN Rikisutvarpid Ohf,28.33
44925,THE-1984-AS 1984 ehf,28.33
206743,SecuritasIceland Securitas hf.,28.33
209214,IS-Netheimur Netheimur ehf.,28.33
197403,ISLANDSBANKI-AS1 Islandsbanki hf,28.33
198815,RUV-AS Rikisutvarpid Ohf,28.33
24743,SNERPA-NET Snerpa ehf,28.33
214215,FARICE-RISP-AS Farice ehf,28.33
1850,ISNIC Internet a Islandi hf,28.33
15474,RHNET Rannsokna- og haskolanet Islands hf.,28.33
51896,HRINGDU-AS Hringdu ehf,28.33
25244,DECODE-AS deCode genetics Ltd.,28.33
29689,ORIGO-AS Origo ehf,28.33
39472,Arion-banki-AS Arion Banki hf,28.33
43892,BASIS-AS Sensa ehf,28.33
44644,ARVAKUR-NET Arvakur hf,28.33
47545,VST-Raf-AS Verkis hf,28.33
47828,Valitor-AS Rapyd Europe hf.,28.33
31236,RVK-AS Reykjavik City Hall,28.33
59396,TRS Tolvu- og Rafeindapjonusta Sudurlands ehf,28.33
51296,median-is Handpoint ehf,28.33
39532,Landsbanki-AS Landsbankinn hf,28.33
31441,GR-AS Ljosleidarinn ehf,28.33
200432,Borgun Teya Iceland hf,28.33
216293,ts TechSupport ehf,28.33
210747,IHOTELS BERJAYA HOTELS ICELAND hf,28.33
205436,aswintermute Wintermute Technologies EHF,28.33
57729,Kopavogur-AS Kopavogsbaer,28.33
203715,isa Isavia ohf,28.33
203176,RB Reiknistofa bankanna hf.,28.33
199844,RARIK RARIK ohf.,28.33
197973,SKRA-NET Registers Iceland,28.33
206010,RFS Umbra Service Center Management,28.33
206667,JOTTA-AS JOTTA AS,30.75
209293,ASN-NO-AKERBP AKER BP ASA,30.75
207674,VIPPS-AS VIPPS MOBILEPAY AS,30.75
207189,SANDEFJORD-LUFTHAVN SANDEFJORD LUFTHAVN DRIFT AS,30.75
206220,Adcom IT DATA AS,30.75
198368,ASN-EPROVIDER e-Provider AS,30.75
203995,ICENET Lyse Tele AS,30.75
203823,FJORDANEIT-ITEAM10 ITEAM 10 AS,30.75
203580,NFK NORDLAND FYLKESKOMMUNE,30.75
199999,BNNIT AKVA group ASA,30.75
214659,nscale-no-public Nscale Glomfjord AS,30.75
204027,no-brreg Registerenheten i Bronnoysund,30.75
215682,nscale-stav-public Nscale Glomfjord AS,30.75
58005,ONEVOICE-AS F24 NORDICS AS,30.75
202128,fjordane-it ITEAM 10 AS,30.75
49214,GAULDALIKT-AS MIDT ENERGI AS,30.75
201656,HKIT Helgeland Kraft Vannkraft AS,30.75
6829,NO-SOGNFJORDFYLKE Vestland Fylkeskommune,30.75
49455,UPC-AS Telia Norge AS,30.75
62002,RISSAKRAFTLAG-AS Rissa Kraftlag SA,30.75
214710,nlogic-as nLogic AS,30.75
57381,FNUTT Daniel Husand,30.75
44933,NL-AMS-MARLINK-MSS Marlink AS,30.75
5485,SMARTHELP SMARTHELP AS,30.75
50213,UNDERWORLD-AS Underworld,30.75
42175,EQUINOR-AS Equinor ASA,30.75
35132,Enivest-AS Enivest AS,30.75
16234,STAYON NORDVEST FIBER AS,30.75
199339,INFRAGREEN Bulk Infrastructure Holding AS,30.75
205851,inventum Inventum Ost AS,30.75
15765,MIMER Tafjord Connect AS,30.75
31169,SOGNENETT-AS Sognenett AS,30.75
12929,NETCOM-AS Telia Norge AS,30.75
41483,NWN-AS Telia Norge AS,30.75
208045,GRUNERNETT Domeneshop AS,30.75
204734,HVALERBREDBAND Hvaler kommune,30.75
43200,PCSUPPORT TUSSA IKT AS,30.75
50582,NO-BENTOYSTEIN Bent Oystein Bostad,30.75
198204,SAMLERHUSET-AS Samlerhuset Norge AS,30.75
21171,Schibsted Vend Marketplaces ASA,30.75
31264,STIM-COMPUTING-AS ADVANIA NORGE AS,30.75
41164,GET-NO Telia Norge AS,30.75
49082,Zones-AS ZONES AS,30.75
59978,E-CO Hafslund Kraft AS,30.75
198309,PHONERO Telia Norge AS,30.75
59438,INCREO-AS Increo AS,30.75
200037,NO-OSSELLE-AS Otrobanda AS,30.75
200139,STATENS-VEGVESEN Statens Vegvesen,30.75
208202,fiberverket Fiberverket AS,30.75
29492,EIDSIVA-ASN Eidsiva Bredband AS,30.75
29607,SYSTEMNET-NO-AS Henning Solberg,30.75
31096,SECURE-AS Bandit Holding AS,30.75
44808,EGNORGE EG Norge AS,30.75
57280,IOPS-AS Lindbak IT AS,30.75
197212,AARDALSNETT-AS Ardalsnett AS,30.75
204511,nettverkspartner UPHEADS AS,30.75
204712,DUETT Duett AS,30.75
211753,PELIAS IMC AS,30.75
207851,FARA Fara AS,30.75
209404,CYBERON Cyberon Security AS,30.75
49271,NO-BITBAKERS Qloud AS,30.75
206145,iktorkide Sunndal kommune,30.75
38990,AGNITIO-AS Agnitio AS,30.75
208263,Harstad-kommune Harstad Kommune,30.75
202008,DATEK-INST DATEK INSTALLASJON AS,30.75
200665,hfestenergi Hammerfest Energi Bredbaand AS,30.75
201596,ThreenetAS 3NET AS,30.75
207464,VarangerKraftUtvikling Varanger KraftFiber AS,30.75
204503,LUOSTEJOK INFRANORD SA,30.75
205190,ALTAKRAFTLAG AKSA HJEM AS,30.75
208835,infranord InfraNord Fiber AS,30.75
210615,Alta-kommune Alta kommune,30.75
211309,OBOSOPENNET-NO Obos Nett AS,30.75
49409,IVERNORGE IVER NORGE AS,30.75
42400,MULTIHOST Nexthop AS,30.75
201895,PatientSky EG Norge AS,30.75
56809,KARSTENSEN Isokron AS,30.75
61300,FIXO Blix Group AS,30.75
62271,BLIXTRANSIT Blix Group AS,30.75
199767,-Reserved AS-,30.75
214486,CyberHawk Jo Christian Skrede Buvarp,30.75
61122,NO-BLIXGROUP-AS Blix Group AS,30.75
33079,ISC-F-AS,30.75
