ASnumber,AS_ID,AS_Organization,CO2_Intensity
21183,21183_VODAFONE-FIX-AS,Vodafone Albania Sh.A.,24.42
21246,21246_IPKO-AS,IPKO Telecommunications LLC,24.42
47394,47394_ASC-AL-AS,Albanian Satellite Communications sh.p.k.,24.42
208630,208630_InfotelecomAlbania-AS,INFO-Telecom Shpk,24.42
209442,209442_FastNet-Korce,FASTNET ALBANIA Sh.p.k,24.42
33924,33924_PRONET-AL-AS,Pronet sh.p.k.,24.42
48265,48265_ITIRANA-AL-AS,NSolution sh.p.k,24.42
60304,60304_STARNET,Starnet Sh.p.k.,24.42
60352,60352_Selcom-AL-AS,S E L C O M SHPK,24.42
60471,60471_Mobitel-BGP,Mobitel sh.p.k.,24.42
202710,202710_abnet,ABnet Sh.p.k,24.42
209240,209240_isanet,ISA.NET Sh.p.k.,24.42
210125,210125_PriamNET,PRIAM NET Sh.p.k.,24.42
57388,57388_IBC-AS,I.B.C - Telecom Sh.p.k.,24.42
204894,204894_StyleNet,Ezmir Kraja trading as StyleNet,24.42
211080,211080_KREN-ASN,Ministry of Economy of Republic of Kosovo,24.42
201708,201708_Raiffeisen-AL-AS,RAIFFEISEN BANK SH.A,24.42
207047,207047_RAIFFEISEN-KS-AS,Raiffeisen Bank Kosovo JSC,24.42
57961,57961_RASH-AS,RASH - Rrjeti Akademik Shqiptar,24.42
56782,56782_AMS-AS,ALBANIA MARKETING SERVICE Ltd,24.42
57070,57070_ITCOM-Shkoder,ITCOM Shpk,24.42
202433,202433_Acenet,Acenet sh.p.k.,24.42
211147,211147_INTERFIBER,INTERFIBER Sh.p.k,24.42
204100,204100_PCBK,ProCredit Bank Sh.a,24.42
207385,207385_CredinsBank,Credins Bank Sh.A.,24.42
216122,216122_SBC-Fiber,Suhareka Broadband Comunication SH.P.K.,24.42
39237,39237_ITS-AS,I.T.S. SH.P.K.,24.42
50091,50091_negenet,"Ylli Zeka trading as N.T.SH. ""NEGENETI""",24.42
210748,210748_aab-edu,UNIVERSITETI AAB SH.P.K,24.42
211468,211468_KOSNET,KOSNET Telecommunications LLC,24.42
29238,29238_Nisatel,Nisatel LTD,24.42
201249,201249_IPRO,IPRO Sh.p.k.,24.42
5414,5414_BANK-OF-ALBANIA,Banka e Shqiperise,24.42
43272,43272_DOTNET-AS,DOTNET SH.P.K,24.42
203675,203675_Vista,VISTA SH.P.K.,24.42
5576,5576_AKSHI,Agjencia Kombetare Shoqerise se Informacionit,24.42
6843,6843_Diginet,Diginet shpk,24.42
38916,38916_FBD-AL-AS,FBD shpk,24.42
58166,58166_Credins-AS,Credins Bank Sh.A.,24.42
201524,201524_ASP,Albania State Police,24.42
209277,209277_APT-CABLE-AS,APT CABLE SHPK,24.42
209302,209302_SHIMAJ-NET-AS,Bujar Shimaj,24.42
209839,209839_LuvaGroup,Luva Group Sh.p.k.,24.42
211210,211210_KORABI-NET,KORABI-NET SHPK,24.42
212752,212752_NetBSS,Business Strategic Solution SHPK,24.42
215946,215946_nextfiber,NEXT Fiber SHPK,24.42
216312,216312_XhimiNet,Gezim Cerri,24.42
197167,197167_ENOR_ASN,Enor Technologies,24.42
209465,209465_vigal,VIG SERVICES SHQIPERI Sh.p.k.,24.42
12783,12783_ENET-AL-AS,ENET Shpk,24.42
42409,42409_AKEP-AS,Autoriteti i Komunikimeve Elektronike dhe Postare - AKEP,24.42
50616,50616_AMC,ONE ALBANIA SH.A.,24.42
199276,199276_ermal,Tele.Co.Albania SHPK,24.42
202080,202080_giganet,G net Sh.p.k,24.42
202179,202179_IDS-AS,Intercom Data Service sh.p.k,24.42
203063,203063_ISPBA-ASn1,INTESA SANPAOLO BANK ALBANIA PJSC,24.42
204816,204816_VANI,VANI SHPK,24.42
206088,206088_ShqiponjaISP,shqiponjaisp.al LLC,24.42
207502,207502_SPEED-LINE,SPEED LINE SHPK,24.42
207876,207876_AS-SET-NEWAVE,Roland Delia trading as NEWAVE,24.42
212766,212766_Netsyscom,Netsyscom sh.p.k,24.42
212986,212986_menocom,MENOCOM Sh.p.k.,24.42
216280,216280_bkt,Banka Kombetare Tregtare Sh.A.,24.42
196838,196838_ASC-AL-AS196838,Albanian Satellite Communications sh.p.k.,24.42
211356,211356_mytvalb,MyTv-Alb SH.P.K.,24.42
215773,215773_txrx,TX RX SHPK,24.42
213363,213363_Fiberconn-AS,FiberConn (SH.P.K),24.42
205110,205110_next-tv,NEXT-TV SHPK,24.42
212637,212637_LightNet,Lightnet Sh.p.k.,24.42
215025,215025_netcom,NET.COM SHPK,24.42
205278,205278_NETCOM,NetCom ISP Sh.p.k.,24.42
201967,201967_elinet,Erlis Marku,24.42
210003,210003_SkyElbasan,SKY ELBASAN sh.p.k,24.42
215910,215910_MY_NET-TV_EDMA,Edmond Manja trading as MY NET-TV EDMA,24.42
216046,216046_tele-co-tirana,Tele.Co.Albania SHPK,24.42
205832,205832_UltraNet,ULTRANET sh.p.k,24.42
207330,207330_Drinia,Drinia Tech SH.P.K,24.42
211458,211458_IH-NET,IH-NETWORK SHPK,24.42
213206,213206_map-ashi,Ministry of Internal Affairs (Kosovo),24.42
202558,202558_AS-SET-LOBINET,M.R.M shpk,24.42
205244,205244_Firstcom,NEXT-TV SHPK,24.42
211385,211385_DIGITEL,DIGITEL ALBANIA SHPK,24.42
215883,215883_FastLink,FastLink SHPK,24.42
58137,,,24.42
27895,27895_,Núcleo S.A.,24.86
28103,28103_,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),24.86
27795,27795_,Netvision S.A.,24.86
264733,264733_,CHACO COMUNICACIONES S.A.,24.86
270029,270029_,MEGANET S.R.L.,24.86
267723,267723_,SOLAR BANCO S.A.E.,24.86
23201,23201_,Telecel S.A.,24.86
28033,28033_,Banco Familiar SAECA,24.86
52227,52227_,Banco Itau Paraguay S.A.,24.86
52418,52418_,NETEL S.A.,24.86
52445,52445_,FINANCIERA PARAGUAYO JAPONESA S.A.,24.86
263169,263169_,Vision Banco,24.86
263228,263228_,PLANET S.A.,24.86
263727,263727_,Subsecretaría de Estado de Tributación,24.86
264633,264633_,BANCO GNB PARAGUAY SOCIEDAD ANONIMA EMISORA DE CAPITAL ABIERTO,24.86
264807,264807_,Datapar SA,24.86
266677,266677_,FILA-NET,24.86
267702,267702_,SANCHEZ ANIBAL RAMON (ARSOFT INTERNET),24.86
269905,269905_,COOPERATIVA COLONIZADORA MULTIACTIVA FERNHEIM LTDA,24.86
272154,272154_,DIRECCION NACIONAL DE ADUANAS,24.86
272961,272961_,JANZEN WIENS RALF DONALD,24.86
27733,27733_,Centro Nacional de Computacion,24.86
27866,27866_,COMPAÑIA PARAGUAYA DE COMUNICACIONES S.A. (COPACO S.A.),24.86
264705,264705_,Secretaria Nacional de Tecnologias de la Información y Comunicaciones,24.86
27727,27727_,Consultronic S.A.E.C.A.,24.86
266831,266831_,MONGELOS ARCE MARCIAL(DELTA NETWORKS),24.86
269731,269731_,Liz Carolina Zavala Martinez (Link Telecomunicaciones),24.86
262250,262250_,Direccion Nacional de Contrataciones Publicas,24.86
265759,265759_,VIVE TELECOM S.A.,24.86
266694,266694_,FULL TELECOMUNICACIONES S.A,24.86
269794,269794_,GRUPO SPEED NET SOCIEDAD ANONIMA,24.86
27669,27669_,E-life Paraguay S.A.,24.86
263717,263717_,SOL TELECOMUNICACIONES S.A.,24.86
264756,264756_,Cable Television Satelital SRL,24.86
266814,266814_,Masternet Telecomunicaciones,24.86
269725,269725_,ACAS TECNOLOGÍAS S.A.,24.86
269887,269887_,FRANCISCO VILLALBA SANTACRUZ (PLUS.NET),24.86
269914,269914_,FRANCISCO DARIO DAVID GARCIA AYALA (NETCON),24.86
269976,269976_,TV MAX CABLE S.A.,24.86
271969,271969_,SIMON ALBERTO KONARREUSKI MLOT,24.86
267795,267795_,PRIETO TELLES ALEXANDRE(F1NET TELECOM PY),24.86
263732,263732_,PANDA CONECT S.A.,24.86
267883,267883_,RODRIGUEZ PAEZ HUGO HERNAN (TELNET PARAGUAY),24.86
267905,267905_,PERES RAMOS WILLIAN (GIGABIT INTERNET),24.86
267920,267920_,Saldivar Sosa Rodrigo Agustin (RAYNET),24.86
269878,269878_,HINET E.A.S. UNIPERSONAL,24.86
271775,271775_,ARLINDO PORATH (NETN@R NARANJITO),24.86
273023,273023_,ITATEC SOCIEDAD ANONIMA,24.86
273063,273063_,DAHMER MARIANO ROBERTO ADRIANO,24.86
64165,64165_,EXTRA S.A.,24.86
265728,265728_,FLYNET SRL,24.86
266876,266876_,DOUGLAS BIONDO BOSCHETTI(TECNOPAGE),24.86
267704,267704_,SAMISTRARO BAMBERG DANGELO DANIEL,24.86
267837,267837_,Vicente Sosa Peralta,24.86
267914,267914_,TVH S.A,24.86
272062,272062_,TV 2 S.A.,24.86
272099,272099_,WIRSCHKE MONGES RICARDO DANIEL,24.86
274082,274082_,ASOCIACION PARAGUAYA DE PROVEEDORES DE INTERNET Y TELECOMUNICACIONES,24.86
264631,264631_,RED PARAGUAYA DE TELECOMUNICACIONES SA,24.86
266673,266673_,FLYTEC TELECOM SOCIEDAD ANONIMA,24.86
269748,269748_,MOSSO Y ASOCIADOS SOCIEDAD ANONIMA (CABLE DIGITAL DEL ESTE),24.86
262183,262183_,MULTI LINK S.A.,24.86
269930,269930_,CAMPOS FARIAS GUILHERME,24.86
270096,270096_,"MACHADO BAEZ, NERY JAVIER (LOCAL NET PARAGUAY)",24.86
272026,272026_,HERNAN GALEANO KIM (HERKIM - SOLUCIONES TECNOLOGICAS),24.86
272065,272065_,PUNTO DOC SOCIEDAD ANONIMA,24.86
273095,273095_,NORTE NET E.A.S.,24.86
273847,273847_,P.A. NETWORKS E.A.S,24.86
64159,,,24.86
64170,,,24.86
264722,,,24.86
264853,,,24.86
273876,,,24.86
273077,,,24.86
266784,266784_,CENMONT S.A,24.86
27768,27768_,COMPAÑIA PARAGUAYA DE COMUNICACIONES S.A. (COPACO S.A.),25.864265048996735
328344,328344_STETechplus-AS,STE Techplus SARL,27.04
37453,37453_VODACOM-CONGO,Vodacom Congo,27.04
327879,327879_AJYWA-TELECOM,AJYWA TELECOM,27.04
328566,328566_Elite-Networks-AS,STE ELITE NETWORKS SARL,27.04
329489,329489_Castor-Networks,Castor Networks RDC SA,27.04
37102,37102_CIELUX-RDC,CIELUX TELECOM RDC,27.04
37415,37415_AFRINET,AFRINET SA,27.04
37638,37638_Orioncom,Orioncom SPRL,27.04
327738,327738_AFRICELL-DRC,STE AFRICELL RDC SPRL,27.04
328542,328542_MITC-SARL,Mulangane Information Technology Consult SARL - MITC SARL,27.04
328981,328981_Signal-HD,Signal HD,27.04
37414,37414_Microcom-Sprl,Microcom Sprl,27.04
328445,328445_UNLIMITED-SARL-AS,UNLIMITED SARL,27.04
329269,329269_SLTS1-AS,STE LEYA TECH + SOLUTION SARL (L.T.S SARL),27.04
328443,328443_Societe-Datco-AS,Societe Datco,27.04
328551,328551_Baraka-Broadband-AS,Baraka Broadband Solutions Sarl,27.04
328238,328238_INFOSET-AS,INFOSET SARL,27.04
328452,328452_ISPA-RDC-LUBUX-MGMT,Internet service provider association - DRC,27.04
328796,328796_GOMIX-MGT,Internet service provider association - DRC,27.04
328618,328618_OLIVERSOFT,Ets OliverSoft,27.04
327875,327875_ISPA-DRC-CONTENT,Internet service provider association - DRC,27.04
37677,37677_SCPT,Societe Congolaise des Postes et Telecommunications (SCPT),27.04
329017,329017_RAGA-NET,RAGA NET SARL,27.04
327978,327978_ISS,INTERNATIONAL SYSTEMS SARL,27.04
328569,328569_Banque-Central-Congo,BANQUE CENTRALE DU CONGO,27.04
327797,327797_COWS,ITM,27.04
328601,328601_Compagnie-Financiere-du-Congo-AS,Compagnie Financiere du Congo S.a.r.l.,27.04
37571,37571_ITM-DRC,ITM,27.04
328000,328000_Banque-Commerciale-Du-Congo,Equity Banque Commerciale Du Congo SA,27.04
328249,328249_Kinshasa-Wireless-AS,Kinshasa Wireless SARL (KIWI SARL),27.04
328928,328928_CEDESURK,CEDESURK ASBL,27.04
329342,329342_DIRECTION-GENERALE-DES-DOUANES-ET-ACCISES,DIRECTION GENERALE DES DOUANES ET ACCISES,27.04
327870,327870_GBS-DRC,Global Broadband Solution,27.04
37431,,,27.04
37785,,,27.04
37788,,,27.04
37799,,,27.04
214215,214215_FARICE-RISP-AS,Farice ehf,28.33
1850,1850_ISNIC,Internet a Islandi hf,28.33
15474,15474_RHNET,Rannsokna- og haskolanet Islands hf.,28.33
25244,25244_DECODE-AS,deCode genetics Ltd.,28.33
29689,29689_ORIGO-AS,Origo ehf,28.33
31236,31236_RVK-AS,Reykjavik City Hall,28.33
39472,39472_Arion-banki-AS,Arion Banki hf,28.33
43892,43892_BASIS-AS,Sensa ehf,28.33
44644,44644_ARVAKUR-NET,Arvakur hf,28.33
47545,47545_VST-Raf-AS,Verkis hf,28.33
47828,47828_Valitor-AS,Rapyd Europe hf.,28.33
51296,51296_median-is,Handpoint ehf,28.33
51896,51896_HRINGDU-AS,Hringdu ehf,28.33
59396,59396_TRS,Tolvu- og Rafeindapjonusta Sudurlands ehf,28.33
197973,197973_SKRA-NET,Registers Iceland,28.33
199844,199844_RARIK,RARIK ohf.,28.33
202030,202030_ICELANDAIR-AS,Icelandair ehf,28.33
203176,203176_RB,Reiknistofa bankanna hf.,28.33
203715,203715_isa,Isavia ohf,28.33
206010,206010_RFS,Umbra Service Center Management,28.33
210747,210747_IHOTELS,BERJAYA HOTELS ICELAND hf,28.33
214144,214144_NEYDARLINAN-AS,Neydarlinan ohf.,28.33
216293,216293_ts,TechSupport ehf,28.33
205436,205436_aswintermute,Wintermute Technologies EHF,28.33
24743,24743_SNERPA-NET,Snerpa ehf,28.33
31441,31441_GR-AS,Ljosleidarinn ehf,28.33
39532,39532_Landsbanki-AS,Landsbankinn hf,28.33
57508,57508_AS-ALZA-IS,Alza ehf,28.33
57729,57729_Kopavogur-AS,Kopavogsbaer,28.33
60690,60690_OPEX-ASN,Opin Kerfi hf,28.33
197403,197403_ISLANDSBANKI-AS1,Islandsbanki hf,28.33
198815,198815_RUV-AS,Rikisutvarpid Ohf,28.33
206743,206743_SecuritasIceland,Securitas hf.,28.33
211589,211589_RUV-CDN,Rikisutvarpid Ohf,28.33
211815,211815_landsvirkjun-as,Landsvirkjun,28.33
212926,212926_HARPA-AS,Harpa Concert Hall and Conference Centre ohf,28.33
214185,214185_Austurljos,Rafey ehf,28.33
200432,200432_Borgun,Teya Iceland hf,28.33
204588,204588_protegion,Rapyd Europe hf.,28.33
29348,29348_FSNET-AS,Icelandic Ministry of Education and Children,28.33
202247,202247_NETBERG,Netpandan ehf,28.33
34678,34678_TOLVUN-AS,Eignafelag Tolvunar ehf,28.33
44515,44515_IS-ADVANIA,Advania Island ehf,28.33
50613,50613_ThorDC-AS,Advania Island ehf,28.33
203322,203322_EIMSKIP-AS,Eimskip Island ehf,28.33
206842,206842_Tactica,Tactica ehf,28.33
211734,211734_IS-VEGAGERDIN,Vegagerdin,28.33
44275,44275_OpinKerfi2024,Opin Kerfi hf,28.33
44925,44925_THE-1984-AS,1984 ehf,28.33
200868,200868_KAPALVAEDING,Kapalvaeding ehf.,28.33
206669,206669_Gagnaveitan,Gagnaveitan ehf.,28.33
209214,209214_IS-Netheimur,Netheimur ehf.,28.33
210080,210080_tolvuthjonustan,Tolvuthjonustan ehf.,28.33
212771,212771_NETVOKTUN,Netvoktun ehf,28.33
62199,62199_VERNEGLOBAL-IS,Verne Global hf.,28.33
216017,216017_OKH-2,Opin Kerfi hf,28.33
